filename,study_type,has_hypnogram,EOG horizontal_mean,EOG horizontal_std,EOG horizontal_rms,EMG submental_mean,EMG submental_std,EMG submental_rms
ST7172J0-PSG.edf,ST,True,3.567733452500636e-05,0.00011524702692956982,0.00011543402741145168,1.4325394398085894e-05,0.00010384576182784002,0.000104052188869444
ST7202J0-PSG.edf,ST,True,4.879094939876696e-05,9.662910596142346e-05,9.666342416424659e-05,1.4085117011536367e-05,2.8869797055339733e-05,2.8977449743913142e-05
ST7111J0-PSG.edf,ST,True,6.589421106467748e-05,0.00014801725808853556,0.0001489918407728032,2.1716082306849846e-05,0.00011324342195091626,0.00011446675088131477
ST7062J0-PSG.edf,ST,True,6.889230249797242e-05,0.00023802269807371678,0.00023826294469324568,2.3376780876410355e-05,0.00020941863589200204,0.00020964609689357055
ST7141J0-PSG.edf,ST,True,0.00022108417761425867,0.0006697361436777977,0.0006912982667986267,0.00017980560002668825,0.0006629039998907399,0.0006846147618269294
ST7081J0-PSG.edf,ST,True,4.335897959827997e-05,0.00010181262553855133,0.0001018181221140724,5.3568649167450685e-06,4.262967157130589e-05,4.2642166358890465e-05
ST7122J0-PSG.edf,ST,True,5.441631035345128e-05,0.00010232556468754258,0.00010232586184332436,1.445505469817881e-05,7.011639997367624e-05,7.011646394134197e-05
ST7191J0-PSG.edf,ST,True,0.00021519898839840308,0.00043353401083170864,0.0004339067111550692,0.00017448379981291638,0.00042526478049462646,0.0004256426744425841
ST7051J0-PSG.edf,ST,True,9.272880129114295e-05,0.00017467196135937727,0.00017467305579817822,7.515046842602717e-06,2.8787554825235364e-05,2.8793521421544024e-05
ST7092J0-PSG.edf,ST,True,6.192605144759514e-05,0.00010099656182889061,0.00010106314151906417,1.9542679022526256e-05,5.025253453027861e-05,5.038476878812069e-05
ST7021J0-PSG.edf,ST,True,3.69376457901723e-05,6.884663766631725e-05,6.884668799642335e-05,4.540319412877776e-06,1.0115991874918896e-05,1.0117610078202859e-05
ST7222J0-PSG.edf,ST,True,4.034361819376648e-05,7.385697390218174e-05,7.385751195137121e-05,4.453856172770363e-05,0.0001755558208823398,0.0001755562455865097
ST7152J0-PSG.edf,ST,True,6.91005281992536e-05,0.00020532361849881872,0.00020789600796327292,3.624885659979361e-05,0.00018908545300521783,0.00019185835689781327
ST7042J0-PSG.edf,ST,True,6.87573768812255e-05,0.0001401526996433311,0.00014015284441451444,6.0357287955435385e-06,1.5766584099073797e-05,1.5767415338331185e-05
ST7131J0-PSG.edf,ST,True,2.2058870346397628e-05,3.91388249412757e-05,3.913886260040134e-05,4.644607929784899e-06,1.5202058821628252e-05,1.520264025590639e-05
ST7241J0-PSG.edf,ST,True,8.20318684731704e-05,0.00017597779526697693,0.0001777679241594691,3.188410249343552e-05,0.0001368353238238111,0.00013912193143591543
ST7182J0-PSG.edf,ST,True,3.3354309019536135e-05,6.59128865708122e-05,6.709058356056655e-05,1.687957841519824e-05,5.381608344304368e-05,5.525571836509981e-05
ST7012J0-PSG.edf,ST,True,3.5229231052747624e-05,6.199190735667564e-05,6.199244375168031e-05,5.04248037225766e-06,2.0572875336297517e-05,2.0574305240712822e-05
ST7211J0-PSG.edf,ST,True,6.435886450030113e-05,0.00011559481034056546,0.00011559481039015151,5.572091077252535e-06,4.206118660067927e-05,4.2061205645971256e-05
ST7161J0-PSG.edf,ST,True,2.6786584203687322e-05,5.3954359880335844e-05,5.3955284242206284e-05,4.534844128142064e-06,1.6408104633997202e-05,1.6410811344707744e-05
ST7071J0-PSG.edf,ST,True,9.488868401815793e-05,0.00023414994501719428,0.00023422837351076855,3.1530256057886684e-05,0.00020475689291919507,0.00020484534314246246
ST7102J0-PSG.edf,ST,True,6.0459543932704384e-05,0.000107189484625321,0.00010719120966585786,3.912113344168041e-06,1.260710861979976e-05,1.2622054023557106e-05
